10:56:54 -> Populating pitcher ID#s
10:56:56 -> Successful query, finding number of pages in pitching leaderboard
10:56:56 -> Num pages in pitching leaderboard: 305 
11:03:00 -> Parsing page 228 of 305 (Pitchers leaderboard)
11:03:01 -> Parsing page 229 of 305 (Pitchers leaderboard)
11:03:03 -> Parsing page 230 of 305 (Pitchers leaderboard)
11:03:04 -> Parsing page 231 of 305 (Pitchers leaderboard)
11:03:06 -> Parsing page 232 of 305 (Pitchers leaderboard)
11:03:08 -> Parsing page 233 of 305 (Pitchers leaderboard)
11:03:09 -> Parsing page 234 of 305 (Pitchers leaderboard)
11:03:12 -> Parsing page 235 of 305 (Pitchers leaderboard)
11:03:13 -> Parsing page 236 of 305 (Pitchers leaderboard)
11:03:15 -> Parsing page 237 of 305 (Pitchers leaderboard)
11:03:17 -> Parsing page 238 of 305 (Pitchers leaderboard)
11:03:19 -> Parsing page 239 of 305 (Pitchers leaderboard)
11:03:20 -> Parsing page 240 of 305 (Pitchers leaderboard)
11:03:22 -> Parsing page 241 of 305 (Pitchers leaderboard)
11:03:24 -> Parsing page 242 of 305 (Pitchers leaderboard)
11:03:25 -> Parsing page 243 of 305 (Pitchers leaderboard)
11:03:27 -> Parsing page 244 of 305 (Pitchers leaderboard)
11:03:28 -> Parsing page 245 of 305 (Pitchers leaderboard)
11:03:30 -> Parsing page 246 of 305 (Pitchers leaderboard)
11:03:32 -> Parsing page 247 of 305 (Pitchers leaderboard)
11:03:34 -> Parsing page 248 of 305 (Pitchers leaderboard)
11:03:36 -> Parsing page 249 of 305 (Pitchers leaderboard)
11:03:38 -> Parsing page 250 of 305 (Pitchers leaderboard)
11:03:39 -> Parsing page 251 of 305 (Pitchers leaderboard)
11:03:40 -> Parsing page 252 of 305 (Pitchers leaderboard)
11:03:43 -> Parsing page 253 of 305 (Pitchers leaderboard)
11:03:45 -> Parsing page 254 of 305 (Pitchers leaderboard)
11:03:47 -> Parsing page 255 of 305 (Pitchers leaderboard)
11:03:49 -> Parsing page 256 of 305 (Pitchers leaderboard)
11:03:51 -> Parsing page 257 of 305 (Pitchers leaderboard)
11:03:52 -> Parsing page 258 of 305 (Pitchers leaderboard)
11:03:54 -> Parsing page 259 of 305 (Pitchers leaderboard)
11:03:56 -> Parsing page 260 of 305 (Pitchers leaderboard)
11:03:57 -> Parsing page 261 of 305 (Pitchers leaderboard)
11:03:59 -> Parsing page 262 of 305 (Pitchers leaderboard)
11:04:01 -> Parsing page 263 of 305 (Pitchers leaderboard)
11:04:02 -> Parsing page 264 of 305 (Pitchers leaderboard)
11:04:04 -> Parsing page 265 of 305 (Pitchers leaderboard)
11:04:05 -> Parsing page 266 of 305 (Pitchers leaderboard)
11:04:08 -> Parsing page 267 of 305 (Pitchers leaderboard)
11:04:10 -> Parsing page 268 of 305 (Pitchers leaderboard)
11:04:11 -> Parsing page 269 of 305 (Pitchers leaderboard)
11:04:13 -> Parsing page 270 of 305 (Pitchers leaderboard)
11:04:14 -> Parsing page 271 of 305 (Pitchers leaderboard)
11:04:16 -> Parsing page 272 of 305 (Pitchers leaderboard)
11:04:17 -> Parsing page 273 of 305 (Pitchers leaderboard)
11:04:18 -> Parsing page 274 of 305 (Pitchers leaderboard)
11:04:20 -> Parsing page 275 of 305 (Pitchers leaderboard)
11:04:21 -> Parsing page 276 of 305 (Pitchers leaderboard)
11:04:23 -> Parsing page 277 of 305 (Pitchers leaderboard)
11:04:25 -> Parsing page 278 of 305 (Pitchers leaderboard)
11:04:26 -> Parsing page 279 of 305 (Pitchers leaderboard)
11:04:28 -> Parsing page 280 of 305 (Pitchers leaderboard)
11:04:29 -> Parsing page 281 of 305 (Pitchers leaderboard)
11:04:31 -> Parsing page 282 of 305 (Pitchers leaderboard)
11:04:32 -> Parsing page 283 of 305 (Pitchers leaderboard)
11:04:33 -> Parsing page 284 of 305 (Pitchers leaderboard)
11:04:35 -> Parsing page 285 of 305 (Pitchers leaderboard)
11:04:36 -> Parsing page 286 of 305 (Pitchers leaderboard)
11:04:38 -> Parsing page 287 of 305 (Pitchers leaderboard)
11:04:39 -> Parsing page 288 of 305 (Pitchers leaderboard)
11:04:41 -> Parsing page 289 of 305 (Pitchers leaderboard)
11:04:42 -> Parsing page 290 of 305 (Pitchers leaderboard)
11:04:44 -> Parsing page 291 of 305 (Pitchers leaderboard)
11:04:45 -> Parsing page 292 of 305 (Pitchers leaderboard)
11:04:47 -> Parsing page 293 of 305 (Pitchers leaderboard)
11:04:48 -> Parsing page 294 of 305 (Pitchers leaderboard)
11:04:50 -> Parsing page 295 of 305 (Pitchers leaderboard)
11:04:51 -> Parsing page 296 of 305 (Pitchers leaderboard)
11:04:54 -> Parsing page 297 of 305 (Pitchers leaderboard)
11:04:55 -> Parsing page 298 of 305 (Pitchers leaderboard)
11:04:57 -> Parsing page 299 of 305 (Pitchers leaderboard)
11:04:58 -> Parsing page 300 of 305 (Pitchers leaderboard)
11:05:00 -> Parsing page 301 of 305 (Pitchers leaderboard)
11:05:02 -> Parsing page 302 of 305 (Pitchers leaderboard)
11:05:03 -> Parsing page 303 of 305 (Pitchers leaderboard)
11:05:05 -> Parsing page 304 of 305 (Pitchers leaderboard)
11:05:06 -> Parsing page 305 of 305 (Pitchers leaderboard)
11:05:06 -> Done parsing, writing values to: Pitcher_IDs.csv
11:05:06 -> Pitcher ID#s populated
11:05:06 -> Populating batter ID#s
11:05:09 -> Successful query, finding number of pages in batting leaderboard
11:05:09 -> Num pages in batting leaderboard: 584 
11:05:12 -> Parsing page 1 of 584 (Batters leaderboard)
11:05:14 -> Parsing page 2 of 584 (Batters leaderboard)
11:05:16 -> Parsing page 3 of 584 (Batters leaderboard)
11:05:19 -> Parsing page 4 of 584 (Batters leaderboard)
11:05:21 -> Parsing page 5 of 584 (Batters leaderboard)
11:05:24 -> Parsing page 6 of 584 (Batters leaderboard)
11:05:26 -> Parsing page 7 of 584 (Batters leaderboard)
11:05:28 -> Parsing page 8 of 584 (Batters leaderboard)
11:05:31 -> Parsing page 9 of 584 (Batters leaderboard)
11:05:34 -> Parsing page 10 of 584 (Batters leaderboard)
11:05:36 -> Parsing page 11 of 584 (Batters leaderboard)
11:05:38 -> Parsing page 12 of 584 (Batters leaderboard)
11:05:40 -> Parsing page 13 of 584 (Batters leaderboard)
11:05:43 -> Parsing page 14 of 584 (Batters leaderboard)
11:05:45 -> Parsing page 15 of 584 (Batters leaderboard)
11:05:48 -> Parsing page 16 of 584 (Batters leaderboard)
11:05:50 -> Parsing page 17 of 584 (Batters leaderboard)
11:05:52 -> Parsing page 18 of 584 (Batters leaderboard)
11:05:55 -> Parsing page 19 of 584 (Batters leaderboard)
11:05:57 -> Parsing page 20 of 584 (Batters leaderboard)
11:05:59 -> Parsing page 21 of 584 (Batters leaderboard)
11:06:02 -> Parsing page 22 of 584 (Batters leaderboard)
11:06:04 -> Parsing page 23 of 584 (Batters leaderboard)
11:06:07 -> Parsing page 24 of 584 (Batters leaderboard)
11:06:09 -> Parsing page 25 of 584 (Batters leaderboard)
11:06:12 -> Parsing page 26 of 584 (Batters leaderboard)
11:06:15 -> Parsing page 27 of 584 (Batters leaderboard)
11:06:17 -> Parsing page 28 of 584 (Batters leaderboard)
11:06:19 -> Parsing page 29 of 584 (Batters leaderboard)
11:06:22 -> Parsing page 30 of 584 (Batters leaderboard)
11:06:24 -> Parsing page 31 of 584 (Batters leaderboard)
11:06:26 -> Parsing page 32 of 584 (Batters leaderboard)
11:06:29 -> Parsing page 33 of 584 (Batters leaderboard)
11:06:31 -> Parsing page 34 of 584 (Batters leaderboard)
11:06:34 -> Parsing page 35 of 584 (Batters leaderboard)
11:06:36 -> Parsing page 36 of 584 (Batters leaderboard)
11:06:39 -> Parsing page 37 of 584 (Batters leaderboard)
11:06:41 -> Parsing page 38 of 584 (Batters leaderboard)
11:06:43 -> Parsing page 39 of 584 (Batters leaderboard)
11:06:46 -> Parsing page 40 of 584 (Batters leaderboard)
11:06:49 -> Parsing page 41 of 584 (Batters leaderboard)
11:06:52 -> Parsing page 42 of 584 (Batters leaderboard)
11:06:56 -> Parsing page 43 of 584 (Batters leaderboard)
11:06:58 -> Parsing page 44 of 584 (Batters leaderboard)
11:07:00 -> Parsing page 45 of 584 (Batters leaderboard)
11:07:04 -> Parsing page 46 of 584 (Batters leaderboard)
11:07:06 -> Parsing page 47 of 584 (Batters leaderboard)
11:07:09 -> Parsing page 48 of 584 (Batters leaderboard)
11:07:11 -> Parsing page 49 of 584 (Batters leaderboard)
11:07:13 -> Parsing page 50 of 584 (Batters leaderboard)
11:07:16 -> Parsing page 51 of 584 (Batters leaderboard)
11:07:18 -> Parsing page 52 of 584 (Batters leaderboard)
11:07:21 -> Parsing page 53 of 584 (Batters leaderboard)
11:07:24 -> Parsing page 54 of 584 (Batters leaderboard)
11:07:26 -> Parsing page 55 of 584 (Batters leaderboard)
11:07:28 -> Parsing page 56 of 584 (Batters leaderboard)
11:07:31 -> Parsing page 57 of 584 (Batters leaderboard)
11:07:33 -> Parsing page 58 of 584 (Batters leaderboard)
11:07:36 -> Parsing page 59 of 584 (Batters leaderboard)
11:07:38 -> Parsing page 60 of 584 (Batters leaderboard)
11:07:41 -> Parsing page 61 of 584 (Batters leaderboard)
11:07:43 -> Parsing page 62 of 584 (Batters leaderboard)
11:07:45 -> Parsing page 63 of 584 (Batters leaderboard)
11:07:48 -> Parsing page 64 of 584 (Batters leaderboard)
11:07:50 -> Parsing page 65 of 584 (Batters leaderboard)
11:07:53 -> Parsing page 66 of 584 (Batters leaderboard)
11:07:55 -> Parsing page 67 of 584 (Batters leaderboard)
11:07:58 -> Parsing page 68 of 584 (Batters leaderboard)
11:08:00 -> Parsing page 69 of 584 (Batters leaderboard)
11:08:02 -> Parsing page 70 of 584 (Batters leaderboard)
11:08:05 -> Parsing page 71 of 584 (Batters leaderboard)
11:08:07 -> Parsing page 72 of 584 (Batters leaderboard)
11:08:10 -> Parsing page 73 of 584 (Batters leaderboard)
11:08:12 -> Parsing page 74 of 584 (Batters leaderboard)
11:08:15 -> Parsing page 75 of 584 (Batters leaderboard)
11:08:17 -> Parsing page 76 of 584 (Batters leaderboard)
11:08:19 -> Parsing page 77 of 584 (Batters leaderboard)
11:08:21 -> Parsing page 78 of 584 (Batters leaderboard)
11:08:24 -> Parsing page 79 of 584 (Batters leaderboard)
11:08:26 -> Parsing page 80 of 584 (Batters leaderboard)
11:08:29 -> Parsing page 81 of 584 (Batters leaderboard)
11:08:31 -> Parsing page 82 of 584 (Batters leaderboard)
11:08:33 -> Parsing page 83 of 584 (Batters leaderboard)
11:08:35 -> Parsing page 84 of 584 (Batters leaderboard)
11:08:38 -> Parsing page 85 of 584 (Batters leaderboard)
11:08:40 -> Parsing page 86 of 584 (Batters leaderboard)
11:08:42 -> Parsing page 87 of 584 (Batters leaderboard)
11:08:45 -> Parsing page 88 of 584 (Batters leaderboard)
11:08:47 -> Parsing page 89 of 584 (Batters leaderboard)
11:08:50 -> Parsing page 90 of 584 (Batters leaderboard)
11:08:52 -> Parsing page 91 of 584 (Batters leaderboard)
11:08:54 -> Parsing page 92 of 584 (Batters leaderboard)
11:08:57 -> Parsing page 93 of 584 (Batters leaderboard)
11:08:59 -> Parsing page 94 of 584 (Batters leaderboard)
11:09:02 -> Parsing page 95 of 584 (Batters leaderboard)
11:09:04 -> Parsing page 96 of 584 (Batters leaderboard)
11:09:06 -> Parsing page 97 of 584 (Batters leaderboard)
11:09:08 -> Parsing page 98 of 584 (Batters leaderboard)
11:09:11 -> Parsing page 99 of 584 (Batters leaderboard)
11:09:13 -> Parsing page 100 of 584 (Batters leaderboard)
11:09:16 -> Parsing page 101 of 584 (Batters leaderboard)
11:09:18 -> Parsing page 102 of 584 (Batters leaderboard)
11:09:20 -> Parsing page 103 of 584 (Batters leaderboard)
11:09:23 -> Parsing page 104 of 584 (Batters leaderboard)
11:09:26 -> Parsing page 105 of 584 (Batters leaderboard)
11:09:30 -> Parsing page 106 of 584 (Batters leaderboard)
11:09:33 -> Parsing page 107 of 584 (Batters leaderboard)
11:09:35 -> Parsing page 108 of 584 (Batters leaderboard)
11:09:37 -> Parsing page 109 of 584 (Batters leaderboard)
11:09:40 -> Parsing page 110 of 584 (Batters leaderboard)
11:09:42 -> Parsing page 111 of 584 (Batters leaderboard)
11:09:44 -> Parsing page 112 of 584 (Batters leaderboard)
11:09:46 -> Parsing page 113 of 584 (Batters leaderboard)
11:09:49 -> Parsing page 114 of 584 (Batters leaderboard)
11:09:51 -> Parsing page 115 of 584 (Batters leaderboard)
11:09:53 -> Parsing page 116 of 584 (Batters leaderboard)
11:09:56 -> Parsing page 117 of 584 (Batters leaderboard)
11:09:58 -> Parsing page 118 of 584 (Batters leaderboard)
